Rating,avg_salary,age,avg_revenue,avg_size,desc_len,private,python_,R_,spark_,aws_,excel_,analyst,data engineer,data scientist,director,manager,mle,seniority,Bio + Healthcare,Defense + Manufacturing + Petroleum,Education + Consumer,Finance + Legal + Insurance,IT + Media + TC,Land + Travel
0.0316330384946251,-0.8857181903853821,2.3993875603560695,-0.7015405871555822,-0.20922345822035635,-0.8379986414943733,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.34161794703457743,0.7833270587677341,-0.9310281872614247,-0.7015405871555822,-0.7769995686768945,-0.7132123974562539,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0.9647605023176327,-1.4939295947377889,-0.7153897575595726,-0.39087501608945824,-0.20922345822035635,0.6001943327227398,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
-2.3944983674451943,-1.0837405080815146,-0.7752893213656427,-0.7772653201029499,-0.95994964871289,-1.233785314504166,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-1.0881199180929833,-0.8432848365933537,-0.3080727236782963,-0.39087501608945824,-0.20922345822035635,0.9745530648370978,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
-0.5282434397991791,-0.12191782212887134,1.5128740160262328,1.8096727789622533,1.5570649351754386,0.25482634417279326,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0.5915095167884293,-0.8149959340653349,-0.7153897575595726,-0.7694986808262969,-0.9347151549148217,-0.3905328169132382,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9647605023176327,-1.1827516669295808,-0.8351888851717126,-0.7402572839496979,-0.9347151549148217,0.46532435179265114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.8346218891513901,0.5994491923356111,-0.5476709789025764,-0.7746764403440656,-0.8779375438691679,-0.9564825499750118,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0.9647605023176327,-1.592940753585855,-0.21223342158858424,-0.7746764403440656,-0.7769995686768945,1.1818999046782153,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.15499245426997577,2.7352613332010396,-0.3080727236782963,-0.7597903817304805,-0.20922345822035635,-0.3029303526642554,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0.0316330384946251,-0.43309574993707944,0.14716396124783598,1.8096727789622533,1.5570649351754386,1.2077394804638866,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.5915095167884293,-0.6169736163692024,-0.5476709789025764,-0.7597903817304805,-0.8779375438691679,-0.7957729932592521,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.15499245426997577,-0.1643511759208997,2.974423372894342,1.8096727789622533,0.9263287626927199,0.7716178598862169,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.34161794703457743,2.226061087696699,0.21904343781512003,-0.7015405871555822,-0.7769995686768945,0.87875756436339,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0.0316330384946251,-1.3241961795696755,0.41072204199454415,-0.643290792580684,-0.20922345822035635,-0.885266158175479,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.7148689325637808,-0.3482290423530227,-0.04451464293158814,1.8096727789622533,1.5570649351754386,-0.14978359861747256,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.5915095167884293,0.27412681326339355,-0.1403539450213002,-0.7015405871555822,-0.20922345822035635,-0.575821482303173,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-1.6479963963867883,-1.2393294719856187,-0.5476709789025764,-0.643290792580684,-0.7769995686768945,-1.1739131267080987,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2.084513458905243,0.005382239247213803,1.2013962842346686,-0.39087501608945824,-0.20922345822035635,-1.3012203049692104,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-0.34161794703457743,-1.154462764401562,-0.9310281872614247,-0.1319870402010216,-0.20922345822035635,-0.5172097616186018,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-1.6479963963867883,-1.4232073384177417,0.8419989013982484,-0.7789739807438136,-0.7769995686768945,0.11680519546396426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0316330384946251,1.1086494378399516,-0.4039120257680084,1.1624528392411617,1.5570649351754386,0.12499823168868926,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
-1.0881199180929833,-0.12191782212887134,-0.7393495830820006,-0.7015405871555822,-0.7769995686768945,0.5768756911600609,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.21825853125922678,0.07610449556726111,-0.4518316768128644,0.5540660959033356,-0.8779375438691679,1.1087928122114383,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.5282434397991791,-0.7867070315373159,-0.5716308044250045,-0.7015405871555822,-0.8779375438691679,2.241952745446482,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0.21825853125922678,1.6178496833442921,-0.5476709789025764,1.8096727789622533,1.5570649351754386,2.300564466131053,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
